"OBSRVTN_NB","DATETIME_DTM","PNT_NM","QUALIFIER_TXT","PNT_ATRISKNOTES_TX","PNT_ATRISKFOLWUPNTS_TX"
285570,"10/3/2022 9:38","PPE - Workforce","AEP Required (Standard), Other - PPE Workforce","Trucking vendor employees did not have any PPE on while onsite. One of the drivers was wearing shorts and tennis shoes while onsite as well.",NA
412417,"11/8/2023 13:00","Barricades around truck when required","Used when required","One of the buckets being used to hold primary conductors was not barricaded as required by safety rule 1. 12, [NAME] safety rules, and AEP Barricading policy.",NA
388271,"8/24/2023 10:17","Tree Felling - Policies","Does the crew know and understand the felling policy?, When is a rope required to be used when felling a tree?","RC - SIF LOF - Observed crew felling a 40' tall 10 "" "" dbh tree without rope or using the 5 steps of tree felling.",NA
269322,"8/19/2022 8:48","FR Clothing","FR clothing in good order","Employee had a pair of FR pants that had large holes. Explained to the employee that the FR clothes need to provide ample coverage of the body.",NA
431081,"1/23/2024 14:24","PPE - Workforce","AEP Required (Standard)","Employee was not wearing safety glasses at job site. [NAME] was told to go put them on and he did, he walked back to the truck. [NAME] was notified.",NA
370540,"7/10/2023 11:21","Lifting Techniques","Buddy system used as needed","Employee lifting heavy object with out a buddy system talk to the supervisor it was corrected always need help to lifting heavy object if needed",NA
339724,"4/12/2023 12:59","Equipment Operations","Other - Equipment - Motion","Looking over a Fork lift today. I found the fire extinguisher had not been inspected for the month of [NAME] 2023. I made the [NAME] and DACON site supervision aware of this and explained that OSHA requires monthly fire extinguisher inspections for all fire extinguishers on a construction site to make sure they are charged and ready to go should they be needed. I asked that they verify all fire extinguishers on site have been inspected for the month of [NAME] 2023.",NA
40367,"6/22/2020 10:37","Complete job briefing given","All members of team present","another person came on the crew late, the crew didnt take time to get him briefed and on the same page.",NA
327973,"3/7/2023 14:08","Fire Extinguishers - Telecom","Fire Extinguisher available on all equipment","The rental kubota machine that was delivered today did not have a good fire extinguisher. Shop said it will bring on out.",NA
360533,"6/5/2023 9:30","Housekeeping in order","Trash, tools, equipment secured on vehicle","Consider items in vehicles that do not have a barrier and the potential risks of objects hitting folks in the front of the vehicle.",NA
255021,"6/30/2022 14:38","Excavating activities","Hand digging","Went over the ergonomics of hand digging and minimized the digging by individuals to avoid over exertion and utilized a mini excavator for digging when possible.",NA
383577,"8/16/2023 14:27","Crane Basket Requirements","Other - Crane Basket Requirements","I dont believe the crane basket was used properly. When the crane was extending up, the bottom of the basket was on top of the main boom sheave making it very difficult to tie off to the crane instead of the basket. This was addressed with the crew and good conversation was had. [NAME] to follow..","I mentioned this to SMG and they agreed that this was improper use. The basket should always stay parallel to the sheave to make the lanyard attachment point much more accessible. I have spoke to the superintendent to let him know our thoughts and lessons learned."
56525,"9/24/2020 9:02","Aerial Devices - Job Briefing","Did crew determine task assignments?, Were hazards identified?, Were mitigation steps documented?","Had crew mark open utility holes within the work zone & drop zone with extra cones to prevent potential issues. Not listed on briefing. Also had crew add who the assigned observer was on the briefing.",NA
330900,"3/15/2023 12:30","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Surface","The work area had light snow in the yard that stuck and built up on bottom of work boot, employee attempted to go up on the bucket truck with ice built up on boots, had slight slip. Employee then exited the truck and removed the build up on the boots.",NA
374145,"7/20/2023 11:30","Correct work area traffic control","Vests worn when required","[NAME] not wearing hi visibility vests while in and adjacent roadway with flaggers controlling traffic. [NAME] immediately put them on when coached.",NA
235363,"5/2/2022 15:20","Housekeeping - Generation","Tripping Hazards","Washdown hose was left unrolled and unattended on Unit 3 causing a tripping hazard. Spoke to one of the washdown laborers about the hose and he said one of the other laborers had been using it. Told him that it needed to be rolled up once the laborer had finished. A second laborer drove up in an ATV and I stressed the importance of rolling up the hoses when finish. [NAME] said a third laborer had been using the hose and had not finished. I asked them to let the third laborer, who is relatively new on the job, to not leave an unrolled up hose unattended.",NA
497417,"9/26/2024 9:14","Loading/Unloading Procedures","Load secured","[NAME] delivery driver unsecured load before being in place to be unloaded. I advised him of the proper procedure with some pushback but he complied.",NA
152350,"2/27/2019 9:30","Tools and equipment used correctly","Approved tool","Employee was using an impact tool with a regular socket. The socket needed to be an approved impact rated socket. Addressed and changed.",NA
25223,"3/6/2020 12:30","All applicable work procedures are followed","Other - Procedures","Drop Zone not barricaded per Positioning, Barricading and Grounding Aerial Devices Near Energized Conductor Policy - 4. 4 The aerial device shall be barricaded to prevent workers on the ground from being injured by falling objects or by touching the aerial device in the event of an accidental contact with energized conductors.",NA
197371,"12/13/2021 15:30","Correct work area traffic control","Appropriate number of signs out, Closed off street, Flaggers compliant","We decided to close the road and crews had no rd closed signs, they did not have enough signs for any road. We ended up using vehicles cones and workers to control the flow of traffic during the work so the outage could be cleared. Provide forman with Traffic control book on proper process.",NA
385254,"8/23/2023 13:36","Personal Safety","Ascending/Descending using 3 point contact","Noticed [NAME] member exiting the belly of the truck, and with material in hand. Advised crew members to keep hands free to use three points of contact",NA
422042,"12/11/2023 9:45","Correct work area traffic control","Signs out, Vests worn when required","The [NAME] was coached for not wearing any Traffic Vests, while working out by / in the roadway; and for not having a Warning signs in place to help warn approaching traffic.",NA
372171,"7/6/2023 9:30","Opportunities To be More Effective","Hazard Mitigation","A tag line was a simple way to keep someone out of harm's way. Several crew members said this when I asked what could have been done. No one spoke up when the cage was being lowered.",NA
135116,"8/31/2021 10:20","Circle of safety practices","Other - Circle of safety","No 360 device on the outside of the truck. Talked with driver and he will get one at the service center soon.",NA
102297,"5/7/2021 10:12","Cover up activities","Cover up used when required","Needed to use cover up on hot open wire secondary and not rely on taped connections. Discussed with crew at the job site.",NA
456084,"4/23/2024 13:55","Complete job briefing given","Other - Job Briefing","Job Briefing was missing one aspect which was they were going to remove or pull the old pole once transferred. After briefing us in the foreman added it to the briefing.",NA
122986,"7/16/2021 9:17","Circle of safety practices","Other - Circle of safety","No 360 device on the outside of the truck. Talked with employee and he will get one at the service center.",NA
395843,"9/20/2023 10:00","PPE","Hearing protection adequate","Forgot to put in his ear plugs while running the chainsaw. Explained that it's important to use them. [NAME] agreed and put them in.",NA
455927,"4/23/2024 14:45","Personal Safety (Forestry)","Line of fire","[NAME] removed a tree in the direction of an employee aloft, also one employee wasn't pulling the rope and wasn't two times the height of the tree away.",NA
488866,"8/23/2024 12:40","Housekeeping in order (Forestry)","Walking / Working Surfaces","[NAME] saw leaves high stobs in the row which catch your boots while walking creating STF hazards. The stobs are flat on top and not 45 like with a chainsaw. Spoke with the foreman and GF about high stobs.",NA
447253,"3/21/2024 11:08","Welding Operations","Hot work permit completed.","During review of THA / Job briefing [NAME] did NOT complete a Hot [NAME] / Welding Permit. I communicated my concerns with the foreman and the CM.","I used the opportunity to coach the crew. [NAME] was easy to work with and made corrective actions in the field."
172477,"8/30/2021 10:00","COVID-19 - Physical Distancing","Employees able to perform the work while remaining at least 6 feet apart?","Some employees were not strictly adhering to the face - covering protocol when working within 6ft of each other.",NA
101592,"5/6/2021 10:32","Tools and equipment used correctly (Forestry)","Other - Tools and equipment","Climb line in side box was not hung up and simply laying in side box next to DEF and other chemicals. I moved DEF to the other side of the truck and spoke with the entire crew about making sure they are checking their truck before leaving the lot for the day to make sure it is in proper order.",NA
11965,"10/29/2019 13:00","Crew audit items (Forestry)","Number of working saws","Did not have appropriate number of saws for extra men on crew. [NAME] will only be staffed with 3 employees after today",NA
107176,"5/26/2021 12:45","Crew audit items (Forestry)","Crew properly equipped, Planning","[NAME] members were improperly utilizing nylon slings for rigging practices. Chokers were tied in a knot and married without the use of a shackle / clevis. Spoke with the foreman and GF - repeat item.",NA
258904,"7/14/2022 10:30","Emergency Action Plan","Location and directions (including maps) to the nearest medical facility","The directions listed on the Emergency Action Plan to the nearest medical facility are incorrect. Directions begin with the individual at a different location than at the substation. Directions are for an individual located on [NAME] Dr. rather than on Apperson. Spoke with [NAME] [NAME] about the incorrect directions and he let me know that they would be corrected.",NA
476985,"7/9/2024 13:04","PPE - Generation","Wearing eye protection","I've observed employee not using correct PPE ( safety glasses ). I corrected the situation with the individual and explained to him the importance of wearing the correct glasses per AEP policies and procedures.","I went backout to the pond for another observation and noticed again that the individual wasn't wearing the correct glasses. I immediately went to the supervisor and discussed the situation about the same employee not following AEP safety guidelines."
342417,"4/5/2023 10:46","Barricades around truck when required","Respect barricade","Communicated with the crew about respecting the barricade even when someone is not in the zone. We need to take it down so we do not get in the habit of crossing the barricade.",NA
337739,"4/4/2023 13:31","How are rotten or sheared poles removed","Operated within load rating","Drove up on job site to witness crew pulling a pole without pole jack. [NAME] rotated pole back and forth and around and around until pole broke loose",NA
293621,"11/3/2022 13:03","Complete job briefing given","High energy hazards discussed and mitigated","Coached about being sure to look for all high energy hazards on job sites as part of the job briefing. The single worker or servicer briefing forms still do not have the icons included, so we discussed how the SIF model could still be applied when conducting a job briefing.",NA
329823,"3/8/2023 7:12","PPE","Hearing protection adequate","crew was replacing a 3 phase pole in a parking lot which required cutting concrete with a partner saw, before beginning the cuts LCS grabbed hearing protection and handed out to the crew and reminded them how important it is to use correctly and to preserve their hearing",NA
390387,"9/6/2023 8:00","Personal Safety (Forestry)","Hazard recognition, Other - Personal Safety","Two trimmers aloft in tree within close proximity ( 4 - 5' ) to one another. One trimmer was roughly 10 - 15' higher than the other making cuts while the other was below in a direct path of debris.",NA
242117,"5/25/2022 12:40","Complete job briefing given (Forestry)","Observer assigned, Specific risks - hazards identified, Work procedures reviewed","No spotter designated, no tasks designated to crew members and hazards such as tension wood or wires, steep hill immovable objects or hidden hazards / trash in weeds","Discussed with crew member"
453911,"4/16/2024 16:41","Heat and Cold Stress","Adequate potable water readily available to crews, Other - Heat and Cold Stress","Temperatures have reached mid 80s this week, crews onsite didnt have dehydration plan or any controls for heat exhaustion listed on THAs.","By following a dehydration plan, crews can help prevent dehydration, heat exhaustion & any other heat related illnesses."
88079,"3/22/2021 10:30","Proper grounding utilized","Other - Grounding","No grounding plan was utilized. Spoke to job foreman about this and he wasn't aware one was required.",NA
287654,"10/17/2022 11:30","Backing safety (Forestry)","Park to prevent backing","[NAME] pulled into a gravel one lane area, will have to back up to leave job site, crew could have parked along the street.",NA
47585,"9/10/2020 9:00","Complete job briefing given","Job briefing conducted and documented","Traffic Control ( company name ) did not have briefing filled out. Coached on importance of documenting as a layer of protection",NA
405777,"10/23/2023 14:30","Mobile Equipment Use","Operate Within Safe Limits of Equipment","Employees working in elevated work platform did not have all guardrails in place while working at elevated height. Contacted employees about putting guardrails up while working at height. Notified foreman who was in area and notified Enerfab Safety.",NA
207891,"1/11/2022 9:08","Correct work area traffic control","Cones compliant","The traffic zone lacked enough cones at the end of the zone. A vehicle attempted to come the wrong way into traffic due to the confusion with the cone lay out. The crew added additional cones to define the lane of travel in both directions.",NA
139955,"10/21/2019 9:30","Correct work area traffic control","Vests worn when required","The [NAME] ( 4 ) were not wearing Traffic [NAME] when I arrived at the job site. The workers were observed walking around trucks in the roadway and the majority of the work was taking place within 15 feet of the road.",NA
438579,"2/20/2024 9:45","PPE","Other - PPE","Employee was not wearing hi vis vest while skid steer was moving. Coached employee on policy for hi vis in Station with Equiptment moving.",NA
61757,"10/27/2020 12:53","Workplace Conditions Addressed","Other - Workplace Conditions","Air bridge built out of mats on ROW access along roadway to protect underground pipeline. One of the mats has slid from truck traffic exposing a huge hole in air bridge. Discuss observation with foreman and suggest marking hazard with a cone before someone drives across bridge and vehicle falls into hole. [NAME] said he was going to contact civil contractor ( [NAME] Management ) to relocate mats and eliminate hazard.",NA
181418,"10/18/2021 8:00","Vehicle Operating Condition (Forestry)","Other - Vehicle Operating Condition","Vehicle had a cracked windshield. Reported to the GF. GF Stated that a windshield had been ordered and was waiting to schedule a time to have it installed.",NA
376832,"7/25/2023 10:00","First Aid Kit","Inspection date, Stock date","Bucket truck had one item that run out of date at end of [NAME] Line truck also had items out of date and no inspection date for month of [NAME] yet.",NA
232539,"4/25/2022 12:14","Range of Motion","Employee forcefully pushing or pulling a load","Using the wrong size tag line for the load size and weight. Could have broke while turning the load.",NA
479013,"7/17/2024 15:49","Housekeeping - Telecom","Flammable liquids are stored in approved containers","I spoke with GF before work started and told him absolutely not to use a plastic water jug, ( after he stated, thats what he was going to do ) found out a couple hours later after I come back thats what was used. Proceeded to stop crew from working until gas cans were bought on job That were OSHA approved!",NA
223977,"3/8/2022 10:00","Circle of safety practices","Other - Circle of safety","No 360 device on vehicle of any kind so talked with driver and he said he will get one at the service center soon.",NA
470996,"6/17/2024 12:00","THA","Hazards and mitigation controls identified (THA), THA lists step- by-step plan","THA did not have a lot of detail regarding the step breakdown, and a few SIF icons were identified, but the hazard was not spelled out.",NA
430174,"1/18/2024 10:30","Correct work area traffic control","Other - Work Area Protection","The crew parked a track excavator near the roadway when there was plenty of room to keep it away from traffic. They repositioned the equipment which kept all of their vehicles at least 15' away from the roadway.",NA
452346,"4/10/2024 8:15","Personal Safety","Pinch points","While unloading poles at job location one crew member was positioned between the truck and pole. Another crew member recognized the hazard and immediately informed them to remove themselves from the potential pinch points","Excellent example of being your brothers keeper."
57602,"9/30/2020 9:45","COVID-19 - Physical Distancing","COVID-19 practices discussed during job briefing? (ex: physical distancing, frequent hand washing, face coverings, etc.)","[NAME] failed to mention anything about Covid - 19. I discussed the importance of this and to identify on the job briefing.",NA
176931,"9/28/2021 9:43","Complete job briefing given (Forestry)","Observer assigned","Spotter was not documented on briefing. Discussed the importance with foreman and he said it was his mistake.",NA
173073,"9/23/2021 13:10","COVID Physical Distancing","Employees plan how tasks will be performed while maintaining physical distancing?","[NAME] did not physically distance during work even when they could. There were no plans documented for physical distancing.",NA
345351,"4/26/2023 9:28","Climbing - Procedures","Was a drop zone established, and clearly marked?","No drop zone established. [NAME] had groundman put up flags and cones when he saw us approach. Coached employee. [NAME] took it very well. RD",NA
437881,"2/20/2024 12:00","Equipment - Setup &Inspection","Equipment set up on level terrain, tires chocked, outriggers fully extended and set on pads - Mechanical","Outrigger pads were not used in an area with soft soil. At one point, the outrigger came up off the ground when picking up a wood pole. Spoke with crew and asked them to use outrigger pads moving forward for better stability.",NA
457851,"4/29/2024 9:00","Fall protection used when required (Forestry)","Worn correctly","Rear position attachment for fall restraint was at lower back of bucket sawyer. Coached employee on need to have crew member check as attachment should be at shoulder blade height.",NA
13717,"12/17/2019 8:30","Housekeeping in order (Forestry)","Tripping hazards / Closed doors","[NAME] path to the work area went directly through the tops of 2 small removals creating tripping hazards. Addressed to the crew while walking into the site.",NA
116469,"6/10/2021 9:17","Complete job briefing given (Forestry)","Other / Job Briefing","[NAME] had the wrong circuit number on the job briefing, talked about the importance of having the correct circuit number.",NA
123369,"7/23/2021 9:01","COVID Potential Exposure","Coaching on what to do if the employee or an immediate family member have a coronavirus test or are exposed to the virus?","Two of the crewmembers had the shot two of us did not and face covering was worn with social distance",NA
478099,"7/9/2024 10:54","Equipment Operations","Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)","Aerial lifts backup alarm was unplugged. [NAME] stoped worked and plugged it back in not realizing it was not working.","Ensure quality equipment inspections prior to usage"
337905,"4/4/2023 16:27","Housekeeping.","Other - Housekeeping:","While pouring concrete under slurry crew failed to keep an organized site tools, extension cords all over as well as excess lumber.","Spoke with foreman to get things picked up before an injury occurs."
36286,"6/1/2020 10:47","First Aid Kit","Available","No first aid kits on the trucks. Talked to the foreman and he said he will make sure to get one for each truck.",NA
187210,"11/8/2021 12:14","Appropriate work area traffic control (Forestry)","Cones compliant, Order of traffic control installation, Other - Work Area Protection, Tapers and buffers compliant","crew was chipping brush moving from pile to pile and forgot to set up cones and put down wheel chocks each time.",NA
363772,"6/6/2023 10:01","Proper hand placement and body positioning","Employees maintaining proper body positioning","[NAME] Member was spotting skid loader and was not aware of standing in between skid loader and fence line. stop the Job and reposition the spotter at a safer distance and away from the fence line. No caught in between harzard abated.",NA
425628,"12/11/2023 9:47","Tools and equipment used correctly","Approved tool, Guards used","Had to stop LCS from using grinder without face shield. [NAME] didnt know it was a safety rule to use a face shield with the grinder. [NAME] was also wanting to use it to cut guy wire which their is an approved tool ( hydraulic cutter ) for that the crew had on site. I sent out a reminder and dock talk in my weekly report",NA
442978,"3/5/2024 11:30","THA","THA lists step- by-step plan","The THA prepared for the work read more like a pre - job brief and needed to be broken down to the task level to outline the specific task steps.",NA
352221,"5/17/2023 10:16","Vehicle Set-up Correct (Forestry)","Location and set up","[NAME] was located about 2 feet from curb and after deploying outriggers this forced many larger vehicles onto and over the curb and into a customers yard.",NA
129133,"8/11/2021 14:15","Housekeeping in order","Tripping Hazards - Closed doors, Walking / Working Surfaces","Spoke to the crew foreman about removing rubber blankets and rope from the bin top that is used as a walking path in order access & egress into the bucket.",NA
424837,"12/28/2023 12:20","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Footwear, Surface","Very muddy location, reminded everyone of cleaning boots before climbing on trucks to avoid slipping, also using 3 points of contact.",NA
400431,"10/3/2023 13:15","Vehicle Operating Condition","Warning and signaling devices","Foremans pickup truck and digger derrick parked on roadway and did not have flashers or beacon lights turned on.",NA
263591,"8/1/2022 12:54","Range of Motion","Employee repetitively twisting or reaching beyond a normal range of motion","Employees were having difficulty accessing PA duct doors after recent installation on CCR DRY ASH CONVEYOR. We got with process owner and got carpenters onsite to build scaffold to doors for easier access.",NA
441242,"2/20/2024 11:21","PPE","Face shield adequate, Safety glasses adequate","[NAME] using cutoff wheel on dremel to remove outer strands of OPGW, recommended using face shield. Tool does have a guard but it does not contain all debris and may not stop wheel if it came apart. [NAME] was going to look into diamond wheel to remove hazard of cutoff wheel coming apart. Discipline with Safety glasses could be better one employee had to swap out between readers and safety glasses depending on task. Recommended trying the bifocal safety glasses available through stores.",NA
427396,"1/10/2024 17:06","Housekeeping.","Containers provided for collection of all refuse, Waste disposed of at frequent intervals","It's been a few weeks but still no trash container is on site. Brought it up and the contractors supervisor has told me it will arrive tomorrow.",NA
337367,"3/29/2023 11:37","Complete job briefing given","Other - Job Briefing","Job briefing lacked particular details into the equipment. They were working on, the task that they were conducting and / or steps to complete the work. JLM B completed the job briefing. [NAME] should overlook completion to ensure details are listed. AEP Safety reviewed the booklet of job briefings and it is apparent that the crew is simply rewriting the same job briefing every day.",NA
23128,"2/25/2020 10:10","All applicable work procedures are followed","Procedure being followed, work stopped","[NAME] wiring up a new controller had opened several breakers in the breaker panel but didn't attach a "" "" Do Not Operate "" "" tag / lockout to the panel. This was discussed and corrected. AEP - Control of Hazardous Energy Policy.",NA
34196,"5/7/2020 11:52","All applicable work procedures are followed","Other - Procedures","Station gate not locked when i arrived. This was corrected. AEP - S & H [NAME] - Electrical Section - 1. 16",NA
93161,"4/7/2021 10:23","COVID-19 - Face Coverings","Coaching on face coverings?","Coached foreman on face coverings with two workers, one on the ground within 6 feet and the other while working in an aerial lift with two persons in the basket. Also informed TCR on site.",NA
74618,"1/26/2021 12:22","First Aid Kit (Forestry)","Other - First aid kit","First aid stored on truck had ice pack go off accidentally crew foreman assured me it would be replaced",NA
166984,"8/5/2019 10:11","Personal Safety","Proper lifting, lowering and carrying","[NAME] heavy chucks of tree being lifted by one employee bending at waist, coached on getting help and proper lifting techniques",NA
223975,"3/9/2022 9:15","Vehicle Set-up Correct","Micro brake/parking brake set","Secondary device not used while truck was parked and left on location. Talked to driver about policy for having a secondary device applied on vehicle while on location.",NA
478687,"7/16/2024 16:36","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Housekeeping","Gaskets, cover plates, straps, scrap wood etc discarded throughout job. Spoke with NE about maintaining clean work area",NA
434962,"2/8/2024 13:52","Complete job briefing given","Energy source controls reviewed","The LCS stated a cut jumper was his energy source / isolation instead of a recloser / fuse location. I will remind the crew in my weekly to properly document the nearest isolation device.",NA
456649,"4/24/2024 14:10","Fall protection used when required (Forestry)","Other - Fall protection","Trimmer was tied in around a spar not the main leader of the tree. After observed the [NAME] had the crew member readjust the tie in point.",NA
1504,"1/27/2020 12:00","Personal Safety","Line of fire","Apprentice started to retrieve a piece of the old pole that was in the strike zone of the bucket overhead. [NAME] did catch it and coached apprentice on line of fire dangers",NA
38763,"6/16/2020 12:54","Workplace Conditions Addressed","High traffic area vehicle/pedestrians","[NAME] traffic maintain traffic control by having vehicles completely stop before entering work zone. This will help limit speed through work zone.",NA
451038,"3/27/2024 13:00","Qualified observer","Primary observer not using cell phone","The foreman took a quick phone call while observing the two workers aloft. I coached him about not being distracted while acting as the qualified observer. [NAME] committed to let calls go the voicemail.",NA
83459,"3/3/2021 9:45","Fall protection used when required (Forestry)","Other - Fall protection, Worn correctly","Carabiner for split tail was on one stationary D ring instead of the two stationary D rings. Fixed by crew member. [NAME] did not realize the carabiner was just on one D ring. Went over with General [NAME].",NA
155549,"4/25/2019 11:30","All applicable work procedures are followed","Other - Procedures","Team member observed in the "" "" Drop Zone "" "" while Bucket Truck is aloft directly overhead performing work. Spot corrected and discussed with Supervisor.",NA
183604,"10/26/2021 9:00","Cover up activities","Other - Cover up","[NAME] Lineman did a great job of peer coaching an apprentice on proper sequence of removing cover up and why it was important.",NA
477912,"7/11/2024 13:33","4) Did the crew document a detailed explanation on the work procedures/job tasks for each employee (JB/THA)?","[Notes Required for At-Risk Conditions]","[NAME] did not document the methods on which the tasks involving the removal of old equipment to staging area by forklift. [NAME] did not mention the lifting of old material in the bucket of the skid steer.",NA
457801,"4/30/2024 9:18","Prior to Moving Load","Pallet integrity inspected","There was no deficiency observed here... I mistakenly clicked on the button and it would not let me validate without selecting a value.",NA
32968,"4/30/2020 16:30","PPE","Other - PPE","The employees safety vest was dirty and not high visibility anymore. I told him that he needed to wash it and if that didn't work he would need to replace it.",NA
435069,"2/5/2024 13:56","Housekeeping in order (Forestry)","Cleanliness, Other - Housekeeping, Walking / Working Surfaces","When I approached in between two houses to get into the backyards, I came across multiple pruners laying on the ground and not stored properly. There was water bottles / pop bottles scattered throughout work site. Walking / working surface had multiple trip hazards from these items.",NA
445841,"3/12/2024 7:00","Fall protection used when required","Used appropriately","At least one of the employees failed to make a safe knot around the dummy. When he cut the belt loose, the rescue dummy fell to the ground. We discussed how important this training is and that they should all take it very seriously. If that had been a real situation and you were the one being rescued, you are the one who would have hit the ground.",NA
52114,"8/31/2020 10:00","Properly stored in protective sleeve","[Notes Required for At-Risk Conditions]","Extendo Stick was not is a protective sleeve. Encouraged the person to order a protective sleeve as soon as possible.",NA
117331,"6/14/2021 10:29","Circle of safety practices","Other - Circle of safety","No 360 device on the outside of the truck. Talked with driver and he will pick up a device at the service center.",NA
342211,"4/20/2023 13:06","PPE","Cut resistant gloves","Had employee to stop and change worn leather work gloves handling material. Coached to check daily and change when needed.","Had employee to stop and change worn leather work gloves handling material. Coached to check daily and change when needed."
151331,"2/27/2019 17:30","Housekeeping in order","Cleanliness, Other - Housekeeping, Trash, tools, equipment secured on vehicle, Tripping hazards / Closed doors","The crew did not keep the job site near and clean. Old materials laying around. Rolls of wire strung out creating tripping hazards.",NA
176257,"9/30/2021 16:00","Did you recognize additional sprain or strain hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Aware of load weight before lifting, Body mechanics","Where grounds needed to be placed was in a difficult position. I reminded crew to use good body positioning and mechanics when lifting and placing grounds to avoid strains and sprains",NA
400868,"10/1/2023 21:05","Cutting/Grinding Operations generating spark","Fire protection equipment available., Hot work permit completed:","Fire extinguisher was more than 20 yards away from the site of the task being performed, and I suggested that they move it closer for easier and quicker access if necessary to use it. It was on the other side of a trailer that they would have to go around in an emergency","They agreed that it would be safer, and more readily available in case of an emergency, and spotted the extinguisher within easier access"
349717,"5/10/2023 9:30","Barricades around truck when required","Used when required","Utilizing truck as a rope rig without a barricade. Had discussions with Superintendent and foreman while on site.",NA
480714,"7/23/2024 12:14","Personal Safety","Hazard recognition","The City asked the County workers across the street to make repairs and they placed a cap on the pipe while we were on site.",NA
80734,"2/3/2021 15:00","Correct work area traffic control","Flaggers compliant","Both Roadsafe employees were not engaged. This was brought to their attention and corrected by observer. The correction was to have a flagger one at each end of the road closer to slow down traffic and direct pedestrian traffic around the side walk closer.",NA
320408,"2/13/2023 12:14","Aerial Platform Requirements","Nothing used to increase height (working from floor of basket/platform)","[NAME] member observed standing on platform rail edge elevating him 6 inches from platform. Explained to employed that this in not allowed and to keep feet on platform",NA
382252,"8/14/2023 14:42","Work Safety Health Plan (WSHP)","Other - Work Safety Health Plan (WSHP) readily available","[NAME] wish to add hearing conservation program and perform noise monitoring when crew members operate the hydro - vac. If exposed over 90 dBA as a dose then a full hearing conservation program is required. Chances are good the PEL will be exceeded since they mention they hydro vac 4 - 6 hours per day.",NA
298265,"11/21/2022 14:19","Fall protection used when required","Equipment in adequate condition","[NAME] member wearing a severely worn harness. Talked to crew member and foreman / replaced with newer harness on truck",NA
402937,"10/11/2023 14:00","Emergency Action Plan","Other - Emergency Action Plan","Emergency Action Plan did not include contract information for Safety Management Group Representative assigned to the project. Contractor shall cooperate with Owner Representative ( s ) to modify and update any WSHP / EAP to accomplish the work.",NA
471267,"6/17/2024 10:30","10) Was the work location documented on the job briefing?","[Notes Required for At-Risk Conditions]","THEY JUST HAD THE NAME OF THE STREET THEY WERE WORKING BEHIND. I TOLD THEM THEY SHOULD AT LEAST PUT A BLOCK THEY ARE ON; EXAMPLE 500 BLOCK OF PECAN ST. INSTEAD OF JUST PECAN ST.",NA
448194,"3/13/2024 16:00","Appropriate work area traffic control (Forestry)","Appropriate signs out","[NAME] was off the roadway but still needed a working sign to alert traffic of the adjacent work zone.",NA
277546,"9/1/2022 14:08","Pre-Job Briefing","Hazards associated with the job identified","[NAME] had first page of pre - job briefing completed but was missing the rest with tasks and associated hazards","Provided them with a copy of pre - job briefing to completely fill out."
486270,"8/15/2024 12:57","Vehicle Operating Condition","Warning and signaling devices","During 360 prior to departure crew member removed material bags hanging from fixed position obstructing passenger side tail lights of truck. Notified crew of mitigated hazard.",NA
167959,"9/8/2021 10:46","PPE - Generation","Protect Feet","The potential for strain injuries comes from leaning over. Also, significant tripping hazards moving across the installed rebar was there but the crew was doing good to leave the material low until all tied together and lifted / elevated properly.",NA
205438,"1/19/2022 17:53","Fall Protection (LSR)","Employees used an appropriate fall protection device","Electrician working near caustic skid with foot resting on midrail. reference: 1926. 453 ( b ) ( 2 ) ( iv )",NA
200301,"12/27/2021 11:00","Lifting","Employee lifting heavy or awkward loads alone without the use of assistance, Lift Weight awareness, Proper technique used in lifting","Stopped one of the employees, wasn't bent at the knees while picking up some material. I stopped him and explained to him how easy it was to hurt your back even when you not lifting something easy. Told the example of an employee getting a back injury loading water into a fridge.",NA
422344,"12/13/2023 10:00","Respiratory (Fumes/Mists/Dusts)","Other - Respiratory (Fumes/Mists/Dusts)","[NAME] employees handling bags of concrete mix while installing anchors were generating dust that has known silica particles. Had a discussion with crew about notating the chemical icon on THA to generate discussion on mitigating silica inhalation hazards. Advised crews that a filtering face piece ( dust mask ) would be an adequate solution.",NA
18898,"2/4/2020 13:26","Proper Skinning Tools and Techniques Used","Cutting and skinning technique","I reminded the crew to skin away from yourself while using a knife, and when applicable use skinning tools",NA
445488,"3/12/2024 10:48","Unattended equipment properly stowed","Other - Unattended equipment properly stowed","There was a pair of hydraulic fluid that drained on the ground and i spoke with a crew member to get that cleaned up and use spill kit.","I went back the next day and it was cleaned up but there is a spot that you know it was but no puddles."
297331,"11/17/2022 14:15","Traffic Control","Traffic warning signage in Compliance","Did not place signage first. Started work and then placed signage later. We had the conversation about telling truck drivers to stop and wait for you to do your tasks first. We dont skip steps because were being rushed.",NA
